channel,horizontal_angle_offset,vertical_angle
1,-1.042,14.87
2,-1.042,11.02
3,-1.042,8.047
4,-1.042,5.045
5,-1.042,3.028
6,-1.042,2.016
7,1.042,1.848
8,3.125,1.676
9,5.208,1.51
10,-5.208,1.339
11,-3.125,1.172
12,-1.042,1.001
13,1.042,0.834
14,3.125,0.663
15,5.208,0.496
16,-5.208,0.325
17,-3.125,0.157
18,-1.042,-0.012
19,1.042,-0.181
20,3.125,-0.349
21,5.208,-0.52
22,-5.208,-0.687
23,-3.125,-0.857
24,-1.042,-1.025
25,1.042,-1.196
26,3.125,-1.363
27,5.208,-1.534
28,-5.208,-1.7
29,-3.125,-1.872
30,-1.042,-2.04
31,1.042,-2.21
32,3.125,-2.377
33,5.208,-2.548
34,-5.208,-2.712
35,-3.125,-2.885
36,-1.042,-3.052
37,1.042,-3.222
38,3.125,-3.387
39,5.208,-3.56
40,-5.208,-3.724
41,-3.125,-3.896
42,-1.042,-4.062
43,1.042,-4.233
44,3.125,-4.397
45,5.208,-4.57
46,-5.208,-4.732
47,-3.125,-4.904
48,-1.042,-5.069
49,1.042,-5.241
50,3.125,-5.403
51,5.208,-5.577
52,-5.208,-5.738
53,-3.125,-5.91
54,-1.042,-6.073
55,-1.042,-7.075
56,-1.042,-8.071
57,-1.042,-9.072
58,-1.042,-9.897
59,-1.042,-11.044
60,-1.042,-12.018
61,-1.042,-12.986
62,-1.042,-13.942
63,-1.042,-18.901
64,-1.042,-24.909
